#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19368,36431,,
19332,36384,,
19326,36366,,
19298,36339,,
19297,36379,,
19312,36351,,
19311,36344,,
19290,36316,,
19287,36325,,
19302,36344,,
19430,36445,,
19414,36477,,
19421,36483,,
19387,36432,,
19384,36438,,
19372,36421,,
19329,36407,,
19344,36388,,
19330,36379,,
19346,36396,,
19356,36408,,
19351,36404,,
19367,36447,,
19378,36425,,
19369,36421,,
19377,36417,,
19360,36418,,
19365,36411,,
19335,36412,,
19344,36404,,
19357,36404,,
19305,36318,,
19298,36330,,
19303,36333,,
19371,36436,,
19375,36415,,
19374,36432,,
19402,36429,,
19389,36440,,
19382,36438,,
19375,36422,,
19385,36437,,
19386,36441,,
19394,36392,,
19360,36409,,
19357,36404,,
19355,36388,,
19342,36382,,
19340,36392,,
19356,36376,,
19352,36399,,
19358,36395,,
19346,36426,,
19372,36418,,
19372,36423,,
19371,36422,,
19369,36421,,
19367,36417,,
19361,36435,,
19366,36416,,
19367,36422,,
19345,36419,,
19366,36420,,
19367,36410,,
19347,36388,,
19355,36411,,
19357,36409,,
19375,36386,,
19368,36416,,
19370,36415,,
19330,36410,,
19368,36423,,
19367,36401,,
19368,36380,,
19368,36412,,
19368,36411,,
19376,36403,,
19367,36416,,
19371,36421,,
19363,36434,,
19361,36418,,
19361,36410,,
19359,36366,,
19331,36379,,
19333,36376,,
19369,36420,,
19367,36416,,
19364,36418,,
19379,36463,,
19394,36451,,
19407,36463,,
19399,36453,,
19396,36447,,
19396,36459,,
19370,36457,,
19391,36447,,
19401,36446,,
19316,36349,,
19314,36353,,
19327,36357,,
19379,36391,,
19361,36412,,
19364,36405,,
19397,36416,,
19379,36432,,
19385,36430,,
19387,36422,,
19390,36439,,
19389,36435,,
19424,36445,,
19403,36467,,
19400,36461,,
19401,36446,,
19401,36461,,
19387,36439,,
19365,36445,,
19379,36429,,
19362,36395,,
19393,36406,,
19371,36418,,
19378,36422,,
19350,36399,,
19336,36387,,
19328,36373,,
19301,36363,,
19312,36354,,
19314,36355,,
19318,36385,,
19340,36390,,
19343,36388,,
19394,36416,,
19382,36435,,
19379,36432,,
19382,36383,,
19365,36415,,
19358,36407,,
19345,36382,,
19337,36393,,
19349,36391,,
19360,36360,,
19358,36398,,
19356,36394,,
19348,36427,,
19370,36423,,
19371,36413,,
19371,36429,,
19364,36419,,
19362,36415,,
19325,36404,,
19342,36390,,
19344,36388,,
19334,36392,,
19341,36384,,
19341,36389,,
19336,36402,,
19361,36408,,
19359,36406,,
19352,36366,,
19342,36386,,
19351,36396,,
19353,36431,,
19372,36427,,
19381,36439,,
19416,36511,,
19435,36500,,
19452,36510,,
19470,36532,,
19461,36529,,
19445,36501,,
19432,36456,,
19407,36466,,
19399,36455,,
19374,36461,,
19385,36434,,
19370,36418,,
19350,36359,,
19344,36386,,
19339,36386,,
19393,36476,,
19405,36457,,
19401,36448,,
19370,36447,,
19374,36424,,
19364,36417,,
19324,36384,,
19341,36383,,
19335,36377,,
19381,36377,,
19362,36411,,
19354,36404,,
19357,36400,,
19353,36408,,
19371,36413,,
19359,36366,,
19354,36395,,
19359,36409,,
19354,36390,,
19359,36404,,
19354,36401,,
19339,36421,,
19362,36404,,
19365,36412,,
19360,36399,,
19366,36414,,
19365,36410,,
19397,36411,,
19381,36426,,
19378,36424,,
19376,36429,,
19380,36443,,
19381,36432,,
19396,36406,,
19378,36434,,
19375,36429,,
19368,36423,,
19367,36419,,
19370,36416,,
19336,36417,,
19358,36411,,
19367,36416,,
19371,36423,,
19367,36416,,
19373,36420,,
19371,36381,,
19356,36404,,
19357,36401,,
19361,36416,,
19358,36405,,
19360,36416,,
19372,36382,,
19358,36400,,
19353,36399,,
19360,36437,,
19363,36411,,
19367,36407,,
19343,36419,,
19365,36408,,
19363,36412,,
19346,36415,,
19362,36398,,
19356,36405,,
19388,36457,,
19385,36437,,
19390,36437,,
19373,36398,,
19349,36397,,
19352,36396,,
19343,36429,,
19366,36415,,
19370,36408,,
19375,36410,,
19369,36414,,
19371,36420,,
19381,36392,,
19363,36416,,
19371,36417,,
19378,36401,,
19372,36425,,
19370,36419,,
19318,36387,,
19343,36385,,
19341,36383,,
19336,36401,,
19347,36390,,
19341,36391,,
19340,36374,,
19319,36365,,
19326,36367,,
19356,36361,,
19341,36379,,
19347,36383,,
19370,36401,,
19364,36411,,
19362,36406,,
19402,36407,,
19374,36433,,
19375,36428,,
19370,36419,,
